force_x,force_y,torque_z,stamp:
0.0,0.0,0.0,10558500000
0.0,0.0,0.0,10608499999
0.0,0.0,0.0,10658500000
0.0,0.0,0.0,10708500000
0.0,0.0,0.0,10758499999
0.0,0.0,0.0,10808500000
0.0,0.0,0.0,10858499999
0.0,0.0,0.0,10908500000
0.0,0.0,0.0,10958500000
0.0,-0.75,0.0,11008499999
0.0,-0.75,0.0,11058500000
0.0,-0.75,0.0,11108499999
0.0,-0.75,0.0,11158500000
0.0,-0.75,0.0,11208500000
0.0,-0.75,0.0,11258499999
0.0,-0.75,0.0,11308500000
0.0,-0.75,0.0,11358499999
0.0,-0.75,0.0,11408500000
0.0,-0.75,0.0,11458500000
0.0,-0.75,0.0,11508499999
0.0,-0.75,0.0,11558500000
0.0,-0.75,0.0,11608499999
0.0,-0.75,0.0,11658500000
0.0,-0.75,0.0,11708500000
0.0,-0.75,0.0,11758499999
0.0,-0.75,0.0,11808500000
0.0,-0.75,0.0,11858499999
0.0,-0.75,0.0,11908500000
0.0,-0.75,0.0,11958500000
0.0,-0.75,0.0,12008499999
0.0,-0.75,0.0,12058500000
0.0,-0.75,0.0,12108499999
0.0,-0.75,0.0,12158500000
0.0,-0.75,0.0,12208500000
0.0,-0.75,0.0,12258499999
0.0,-0.75,0.0,12308500000
0.0,-0.75,0.0,12358499999
0.0,-0.75,0.0,12408500000
0.0,-0.75,0.0,12458500000
0.0,-0.75,0.0,12508499999
0.0,-0.75,0.0,12558500000
0.0,-0.75,0.0,12608499999
0.0,-0.75,0.0,12658500000
0.0,-0.75,0.0,12708500000
0.0,-0.75,0.0,12758499999
0.0,-0.75,0.0,12808500000
0.0,-0.75,0.0,12858499999
0.0,-0.75,0.0,12908500000
0.0,-0.75,0.0,12958500000
0.0,-0.75,0.0,13008499999
0.0,-0.75,0.0,13058500000
0.0,-0.75,0.0,13108499999
0.0,-0.75,0.0,13158500000
0.0,-0.75,0.0,13208500000
0.0,-0.75,0.0,13258499999
0.0,-0.75,0.0,13308500000
0.0,-0.75,0.0,13358499999
0.0,-0.75,0.0,13408500000
0.0,-0.75,0.0,13458500000
0.0,-0.75,0.0,13508499999
0.0,-0.75,0.0,13558500000
0.0,-0.75,0.0,13608499999
0.0,-0.75,0.0,13658500000
0.0,-0.75,0.0,13708500000
0.0,-0.75,0.0,13758499999
0.0,-0.75,0.0,13808500000
0.0,-0.75,0.0,13858499999
0.0,-0.75,0.0,13908500000
0.0,-0.75,0.0,13958500000
0.0,-0.75,0.0,14008499999
0.0,-0.75,0.0,14058500000
0.0,0.0,0.0,14108499999
0.0,0.0,0.0,14158500000
0.0,0.0,0.0,14208500000
0.0,0.0,0.0,14258499999
0.0,0.0,0.0,14308500000
0.0,0.0,0.0,14358499999
0.0,0.0,0.0,14408500000
0.0,0.0,0.0,14458500000
0.0,0.75,0.0,14508499999
0.0,0.75,0.0,14558500000
0.0,0.75,0.0,14608499999
0.0,0.75,0.0,14658500000
0.0,0.75,0.0,14708500000
0.0,0.75,0.0,14758499999
0.0,0.75,0.0,14808500000
0.0,0.75,0.0,14858499999
0.0,0.75,0.0,14908500000
0.0,0.75,0.0,14958500000
0.0,0.75,0.0,15008499999
0.0,0.75,0.0,15058500000
0.0,0.75,0.0,15108499999
0.0,0.75,0.0,15158500000
0.0,0.75,0.0,15208500000
0.0,0.75,0.0,15258499999
0.0,0.75,0.0,15308500000
0.0,0.75,0.0,15358499999
0.0,0.75,0.0,15408500000
0.0,0.75,0.0,15458500000
